Algorithm,Map,Run,Computation Time
Skeletonize,Map5,45,"2.1056854724884033
"
Skeletonize,Map5,46,"2.1382367610931396
"
Skeletonize,Map5,47,"2.1472864151000977
"
Skeletonize,Map5,48,"2.1414217948913574
"
Skeletonize,Map5,49,"2.1113967895507812
"
Skeletonize,Map5,50,"2.0907270908355713
"
Skeletonize,Map5,51,"2.066422939300537
"
Skeletonize,Map5,52,"2.1129050254821777
"
Skeletonize,Map5,53,"2.110118865966797
"
Skeletonize,Map5,54,"2.1286370754241943
"
Skeletonize,Map5,55,"2.1130168437957764
"
Skeletonize,Map5,56,"2.1067214012145996
"
Skeletonize,Map5,57,"2.1280319690704346
"
Skeletonize,Map5,58,"2.0833518505096436
"
Skeletonize,Map5,59,"2.0970778465270996
"
Skeletonize,Map5,60,"2.108592987060547
"
Skeletonize,Map5,61,"2.113680601119995
"
Skeletonize,Map5,62,"2.1085429191589355
"
Skeletonize,Map5,63,"2.109981060028076
"
Skeletonize,Map5,64,"2.1335902214050293
"
Skeletonize,Map5,65,"2.1080727577209473
"
Skeletonize,Map5,66,"2.08897066116333
"
Skeletonize,Map5,67,"2.119946002960205
"
Skeletonize,Map5,68,"2.0730814933776855
"
Skeletonize,Map5,69,"2.095689535140991
"
Skeletonize,Map5,70,"2.1076691150665283
"
Skeletonize,Map5,71,"2.1079578399658203
"
Skeletonize,Map5,72,"2.055626392364502
"
Skeletonize,Map5,73,"2.0736167430877686
"
Skeletonize,Map5,74,"2.0643222332000732
"
Skeletonize,Map5,75,"2.1020286083221436
"
Skeletonize,Map5,76,"2.1085121631622314
"
Skeletonize,Map5,77,"2.087246894836426
"
Skeletonize,Map5,78,"2.116403818130493
"
Skeletonize,Map5,79,"2.0913336277008057
"
Skeletonize,Map5,80,"2.079287528991699
"
Skeletonize,Map5,81,"2.068596124649048
"
Skeletonize,Map5,82,"2.122304916381836
"
Skeletonize,Map5,83,"2.1315300464630127
"
Skeletonize,Map5,84,"2.1260271072387695
"
Skeletonize,Map5,85,"2.1311142444610596
"
Skeletonize,Map5,86,"2.1079940795898438
"
Skeletonize,Map5,87,"2.102503776550293
"
Skeletonize,Map5,88,"2.106187105178833
"
Skeletonize,Map5,89,"2.1123788356781006
"
Skeletonize,Map5,90,"2.0985758304595947
"
Skeletonize,Map5,91,"2.1006722450256348
"
Skeletonize,Map5,92,"2.1163973808288574
"
Skeletonize,Map5,93,"2.139951229095459
"
Skeletonize,Map5,94,"2.091346025466919
"
Skeletonize,Map5,95,"2.1167142391204834
"
Skeletonize,Map5,96,"2.1553292274475098
"
Skeletonize,Map5,97,"2.121706008911133
"
Skeletonize,Map5,98,"2.118162155151367
"
Skeletonize,Map5,99,"2.089700698852539
"
Skeletonize,Map5,100,"2.1266491413116455
"
PRM,Map1,1,"0.07040953636169434
"
PRM,Map1,2,"0.06270003318786621
"
PRM,Map1,3,"0.062277793884277344
"
PRM,Map1,4,"0.07632136344909668
"
PRM,Map1,5,"0.06600046157836914
"
PRM,Map1,6,"0.06484031677246094
"
PRM,Map1,7,"0.08214688301086426
"
PRM,Map1,8,"0.06587839126586914
"
PRM,Map1,9,"0.07041025161743164
"
PRM,Map1,10,"0.06310534477233887
"
PRM,Map1,11,"0.06567716598510742
"
PRM,Map1,12,"0.06129050254821777
"
PRM,Map1,13,"0.06349372863769531
"
PRM,Map1,14,"0.06285405158996582
"
PRM,Map1,15,"0.06843137741088867
"
PRM,Map1,16,"0.07653999328613281
"
PRM,Map1,17,"0.0659630298614502
"
PRM,Map1,18,"0.07219123840332031
"
PRM,Map1,19,"0.06404685974121094
"
PRM,Map1,20,"0.06021237373352051
"
PRM,Map1,21,"0.06007957458496094
"
PRM,Map1,22,"0.07362604141235352
"
PRM,Map1,23,"0.07426142692565918
"
PRM,Map1,24,"0.07702255249023438
"
PRM,Map1,25,"0.057498931884765625
"
PRM,Map1,26,"0.07899260520935059
"
PRM,Map1,27,"0.07499837875366211
"
PRM,Map1,28,"0.05556082725524902
"
PRM,Map1,29,"0.06923508644104004
"
PRM,Map1,30,"0.0592038631439209
"
PRM,Map1,31,"0.0638418197631836
"
PRM,Map1,32,"0.06484031677246094
"
PRM,Map1,33,"0.07979726791381836
"
PRM,Map1,34,"0.06603765487670898
"
PRM,Map1,35,"0.05799102783203125
"
PRM,Map1,36,"0.07514524459838867
"
PRM,Map1,37,"0.07571530342102051
"
PRM,Map1,38,"0.07262182235717773
"
PRM,Map1,39,"0.06195712089538574
"
PRM,Map1,40,"0.06918168067932129
"
PRM,Map1,41,"0.06899237632751465
"
PRM,Map1,42,"0.07139253616333008
"
PRM,Map1,43,"0.05069851875305176
"
PRM,Map1,44,"0.0714261531829834
"
PRM,Map1,45,"0.06570196151733398
"
PRM,Map1,46,"0.059288740158081055
"
PRM,Map1,47,"0.061302900314331055
"
PRM,Map1,48,"0.06585812568664551
"
PRM,Map1,49,"0.07152318954467773
"
PRM,Map1,50,"0.07663583755493164
"
PRM,Map1,51,"0.07533526420593262
"
PRM,Map1,52,"0.06415653228759766
"
PRM,Map1,53,"0.07946395874023438
"
PRM,Map1,54,"0.06762242317199707
"
PRM,Map1,55,"0.07279706001281738
"
PRM,Map1,56,"0.07445979118347168
"
PRM,Map1,57,"0.05687403678894043
"
PRM,Map1,58,"0.059793710708618164
"
PRM,Map1,59,"0.0605015754699707
"
PRM,Map1,60,"0.06725502014160156
"
PRM,Map1,61,"0.07749104499816895
"
PRM,Map1,62,"0.06990385055541992
"
PRM,Map1,63,"0.053591251373291016
"
PRM,Map1,64,"0.0716557502746582
"
PRM,Map1,65,"0.08192873001098633
"
PRM,Map1,66,"0.06288647651672363
"
PRM,Map1,67,"0.06896829605102539
"
PRM,Map1,68,"0.06346297264099121
"
PRM,Map1,69,"0.06769824028015137
"
PRM,Map1,70,"0.06359195709228516
"
PRM,Map1,71,"0.08193016052246094
"
PRM,Map1,72,"0.06307458877563477
"
PRM,Map1,73,"0.07309174537658691
"
PRM,Map1,74,"0.05253028869628906
"
